student_id,study_hours_per_week,attendance_rate,previous_gpa,assignments_completed,tutoring_sessions,sleep_hours,part_time_job,extracurriculars,socioeconomic_index,final_score,grade
1,17.483570765056164,0.8150269403177489,2.366957467997648,70,0,6.303445353060897,0,4,6.641682591281801,36.24,Average
2,14.308678494144077,0.7484713350649697,2.9060925232836388,94,3,7.546618005987828,1,2,1.662564353803135,45.5,Average
3,18.23844269050346,0.814675700363874,2.4719919492476405,96,1,7.73625509578068,1,2,2.707267283651155,43.99,Average
4,22.61514928204013,0.8651957634843666,2.637006933804368,72,3,8.7884057457876,1,1,4.0406849712577335,49.97,Average
5,13.82923312638332,0.8058632084390845,3.8040712541791217,95,1,5.139301244559394,0,4,1.700830578757297,58.19,Pass
6,13.829315215254097,0.8048710029444659,3.6042766310742085,72,4,5.717406123244427,1,3,2.72529344045471,53.47,Pass
7,22.896064077536955,0.7157609974631894,2.0202512578434413,71,0,4.588293566516016,0,0,9.201428100851599,31.25,At-Risk
8,18.837173645764544,0.7204518898938863,3.2978394507275044,96,4,6.185908961986153,0,3,1.1736921900428627,69.22,Pass
9,12.652628070325239,0.6316873673840369,3.2868379326949553,69,3,8.279566680962603,0,3,6.880887317569259,36.72,Average
10,17.712800217929825,1.0,2.1110420267484287,68,2,6.328337008053183,0,4,4.459680378236664,39.55,Average
11,12.682911535937688,0.6507364117530459,3.2912665862529162,66,2,5.430173284215632,1,2,7.05383865489134,32.41,At-Risk
12,12.671351232148716,0.7168513762644911,3.7227591510475317,61,4,7.271963700978518,0,3,6.298225483270641,42.26,Average
13,16.20981135783017,0.7137911281316963,2.1264731162533517,82,3,7.302842604144826,0,2,3.0114887891917985,38.01,Average
14,5.43359877671101,0.907390925233333,2.2494983073914416,98,3,5.779540656458399,0,4,8.624885388160497,34.55,Average
15,6.375410837434837,0.7646060386049567,3.4105968801061013,99,3,6.39274491137824,0,4,5.427463443484211,43.79,Average
16,12.188562353795136,0.9497290487208481,2.962897186495389,98,7,7.180691824774751,1,1,8.402824170221246,64.4,Pass
17,9.93584439832788,0.7191811250907358,3.130885765143714,80,6,7.895183796030147,1,0,4.654112825693973,42.83,Average
18,16.571236662976368,0.8334792994668563,3.004353529840298,82,2,6.221353055813137,1,4,9.862169985237152,52.39,Pass
19,10.459879622393945,0.6997583536088292,3.0344175525568864,88,0,6.048428383947191,0,4,7.934404226511667,38.07,Average
20,7.938481493323542,1.0,2.0041167230133503,73,3,9.29506562731833,0,2,9.693551846013161,29.69,At-Risk
21,22.32824384460777,0.6574881897164585,3.4283906239728688,85,4,6.6711685231062665,0,4,5.62893831018873,61.02,Pass
22,13.871118497567322,0.8371784852272434,3.5017539954566637,64,1,7.299321165056865,1,3,5.2632201906163045,50.67,Average
23,15.33764102343962,0.8760532257118518,2.6623655535591833,90,1,7.778037947674756,1,1,7.7990842839273204,37.21,Average
24,7.8762590689327165,0.8496558916941799,2.7739138301116824,84,6,4.855736757822495,1,1,8.922621367120872,43.24,Average
25,12.278086377374088,0.777765480934675,1.8813354984665667,90,8,6.977767645961793,0,3,9.677312162790022,43.89,Average
26,15.55461294854933,0.784421516031989,3.1085528536107008,79,1,5.025140458391604,0,4,3.9209671542924975,40.66,Average
27,9.245032112888486,0.8052573766374932,3.1432344650284865,76,2,6.843067061479117,0,0,8.18834116458375,36.5,Average
28,16.87849009172836,0.7823597598045814,2.762685389800413,61,4,8.647748682203787,1,4,2.89581037871983,36.95,Average
29,11.996806550405974,0.9156654940153892,3.4746120159223013,84,4,5.801838007933667,1,1,5.910169120709007,60.74,Pass
30,13.541531251033616,1.0,2.5995536614120356,72,4,5.000296972302612,1,0,2.6186333356827927,40.29,Average
31,11.991466938853016,0.73310098579906,3.13876355553616,98,2,9.265222932239912,1,2,4.12657625575305,42.74,Average
32,24.261390922544688,0.6356236424505107,2.1882013967847307,87,5,5.623531389517394,0,2,9.382225304858133,43.13,Average
33,14.932513876310331,0.7894061541978494,2.785868709475457,65,5,5.201705203327611,0,4,2.314816297957775,50.44,Average
34,9.711445355220498,1.0,2.6953874452582984,62,2,8.942837883268215,0,4,6.691608056216769,29.04,At-Risk
35,19.112724560515943,0.7035590518436323,2.935184753224565,94,2,5.576236093843415,0,0,6.33658845634663,56.14,Pass
36,8.895781750144888,0.9966940166532882,2.578283842699985,77,6,8.97389705167435,0,0,2.0866451743808785,45.32,Average
37,16.044317975023777,1.0,2.7211164425969994,70,7,7.328908993804785,1,4,3.933811393919309,54.82,Pass
38,5.201649380601122,0.7335694109950407,3.2956283028649036,79,2,8.540748492008124,1,1,6.066833540637392,29.53,At-Risk
39,8.359069755507846,0.8682779695022331,2.5379414576570696,64,3,7.223279603314301,0,2,2.684607480896412,33.67,At-Risk
40,15.984306179345618,0.9954075947754246,1.8360537395567924,78,2,8.295642837674508,0,0,8.205612907715338,40.07,Average
41,18.692332899977053,0.7545046710815015,3.849750342523252,81,6,5.8978614129030795,0,1,9.749408585812748,75.48,Pass
42,15.856841405949853,0.7755703567877167,3.6288724472142917,78,1,6.263676683171999,1,4,2.9328345996622485,50.15,Average
43,14.421758588058797,0.7301982903261628,2.0246423829366287,75,4,4.461386234686415,0,3,2.682207683115183,34.9,Average
44,13.494481522053556,0.678229192316856,3.2138246831471164,83,1,8.166137773309421,0,0,5.094415646177001,38.8,Average
45,7.607390048162863,0.7220866945920792,2.498215137669194,100,1,7.50348321197842,1,3,7.729887494260289,29.77,At-Risk
46,11.400778958026457,0.6531271679885293,2.9580923291986356,63,3,5.7912104496046934,0,1,3.5344054921172625,32.82,At-Risk
47,12.696806145201062,0.8040900161911072,2.976534477408096,74,4,4.901317542018498,0,2,1.1789191782755237,48.84,Average
48,20.285611131094576,0.7076032122729631,2.6593553198102065,84,5,7.338175778350172,1,1,5.870985652296046,47.84,Average
49,16.71809144784231,0.8280543094148898,2.329740600648162,94,2,9.011145441726628,1,2,9.609405109905769,42.02,Average
50,6.18479922318633,0.6132925224555648,2.385675368610244,73,4,6.834446892901212,1,1,4.52149169866251,11.97,At-Risk
51,16.620419846973974,0.8397056278657349,2.2502848507112545,78,3,6.20986475377394,0,0,4.781210987647904,35.5,Average
52,13.074588597918417,0.900023475393071,2.300906675061733,97,3,5.875510863822439,0,0,9.720115454026342,53.97,Pass
53,11.615389998470206,0.5607517228914254,2.7596930259703867,95,1,8.499218449319587,1,3,7.251468504640555,26.6,At-Risk
54,18.05838144420434,0.8448867883817087,2.3705440065335486,66,4,6.06490261070767,0,1,7.472547305579127,44.18,Average
55,20.154997612479754,0.9473202790967952,3.209231239427572,89,1,6.554585079978781,1,1,6.064318048339609,59.92,Pass
56,19.656400595580994,0.6548430777570554,3.6923476932015564,78,4,8.250081889502535,1,3,9.771482897769175,51.77,Pass
57,10.803912383886807,1.0,2.451968055177974,84,1,7.7649779258035805,1,4,7.199798359830005,32.51,At-Risk
58,13.453938120743928,0.8502822811239255,2.943642700321226,75,1,6.600508804015986,0,1,9.055294764446526,41.81,Average
59,16.65631715701782,0.715398577308991,3.09981106618176,99,2,6.161227670500786,0,1,7.294409791598991,58.47,Pass
60,19.877725635611796,0.7933077106810753,3.0832013625515646,67,0,8.758693947694457,0,1,7.616042423563563,46.65,Average
61,12.60412881077355,0.8669992295026068,2.845573160749652,77,1,5.660356389872822,1,4,3.6136982992802187,36.68,Average
62,14.071705116680914,0.8091206469694894,3.245609451015833,87,2,6.747657777847139,0,0,3.731308282124371,50.5,Average
63,9.468325129969859,0.8646507190935644,3.089349371608394,75,2,5.192948215189238,0,3,8.046861846184264,40.98,Average
64,9.018966879596647,0.689519168830476,2.057402546603621,78,0,8.426640613524443,0,4,3.6703566025290963,18.73,At-Risk
65,19.062629111970992,0.8203232988843294,3.3214936386335636,76,3,6.430136948940393,0,2,6.064930637213784,62.76,Pass
66,21.781200142854114,0.6303542603714024,3.332374502360045,72,3,6.160449041541213,0,2,3.244170798160318,58.08,Pass
67,14.63994939209833,0.786652872638156,2.342028337492851,66,3,7.793994958461672,0,4,8.352850427281624,33.09,At-Risk
68,20.01766448946012,0.6915310830242253,2.822762701268561,86,1,5.289381554437432,1,4,1.99451216104921,37.48,Average
69,16.80818012523817,0.711736406889228,3.209997395686641,69,1,7.762457657462609,0,0,8.46501975785498,37.34,Average
70,11.774401226974378,0.9483311810252525,2.674411708252383,93,6,6.567348649518992,0,2,6.424568204568416,59.08,Pass
71,16.80697802754207,0.9309572144713123,3.443786828659607,95,0,5.553640942263767,1,3,2.6821858134436956,59.68,Pass
72,22.690182832329846,0.8730965745088612,4.0,84,2,5.811684435685818,1,1,5.878318469555063,77.1,Pass
73,14.820869804450242,0.6689224682392906,2.3284083804190105,65,4,6.178959880525915,0,1,3.542489531626064,35.85,Average
74,22.82321827907003,0.7620309860366238,1.971373238107735,83,5,6.467147589443514,0,0,3.9112060125744694,54.63,Pass
75,1.9012744795512777,0.9455717239975021,2.9822911573629254,77,3,5.561768711390544,1,0,4.1637523743719225,31.74,At-Risk
76,19.10951252187612,0.8170060296367886,3.2329375030756857,82,2,7.353419187481656,0,2,1.5698732227508885,59.18,Pass
77,15.435235341190856,1.0,2.6614801756931383,65,2,5.530333619253198,0,3,9.873655159612756,41.03,Average
78,13.504963247670663,0.8471981407273247,3.6719563979926204,88,4,4.161853056234054,0,3,1.2838116531810169,63.43,Pass
